"Program","What It Is","Money Direction","Participant Pay or Cost 2026","Referral / Partner Economics","Location","Duration","Stage","Selectivity","Status 2026","Source"
"Habitat for Humanity AmeriCorps","AmeriCorps State & National operator placing members at local Habitat affiliates to coordinate construction volunteers, assist home builds, and strengthen organizational capacity. Full-time 10.5-12 month positions.","YOU GET PAID","Living allowance: minimum $18,700 for full-time 10.5-month term; 12-month positions range $24,893-$40,757 depending on location. Some affiliates add housing stipend (e.g., Bay Area EBSV: additional $1,500-$1,800/mo toward rent). Segal Education Award ~$7,395 upon completion. Health coverage.","None — apply at habitat.org or through My AmeriCorps. No external referral fee.","Nationwide at local Habitat affiliates (Twin Cities, Bay Area, and many others confirmed for 2026)","10.5-12 months","Gap year / post-college","Low-moderate; many affiliate sites","ACTIVE — Twin Cities Habitat for Humanity confirmed 2026 positions active and accepting rolling applications. Program survived 2025 AmeriCorps disruptions.","https://www.habitat.org/volunteer/long-term-opportunities/americorps/benefits-americorps-service"
"Green City Force (AmeriCorps State & National operator)","6-10 month AmeriCorps workforce development program for NYCHA/affordable housing residents 18-24 in New York City; members serve 4 days/week in green economy service projects and 1 day/week in career training.","YOU GET PAID","Monthly stipend (exact FY2026 dollar amount unverified on operator's site) + unlimited monthly MetroCard + Segal Education Award upon completion + wraparound support services + career services.","None — direct application at greencityforce.org. No affiliate commission.","New York City (NYCHA developments)","6-10 months","Gap year / early career","Moderate; limited to NYC NYCHA/affordable housing residents","ACTIVE — program website recruiting year-round for 2026.","https://greencityforce.org/service-corps/"
"Peace Corps","Federal volunteer program placing Americans abroad for 27 months (2-3 months training + 24 months service) in education, health, agriculture, environment, youth development, and economic development sectors.","YOU GET PAID","Monthly living allowance (amount set country-by-country to match local modest lifestyle; not a U.S. wage). Free housing. Round-trip flights. Paid vacation. Readjustment allowance of $375/month of service paid as lump sum at completion (~$10,500 for full 27 months). Medical/dental during service.","None — direct application at peacecorps.gov. No affiliate or recruiter commission.","~60 countries across Africa, Asia, Latin America, Eastern Europe, Pacific Islands","27 months (3 months training + 24 months service)","Post-college; minimum age 18, no upper limit","Moderate-selective; specific language/sector skills valued","ACTIVE — Peace Corps continues operating. Note: Peace Corps has faced its own federal budget pressures under Trump administration but was not terminated as of August 2026.","https://www.peacecorps.gov/ways-to-serve/volunteer-benefits/"
"California Conservation Corps (CCC)","California state program (not AmeriCorps) providing paid conservation service and job training for youth 18-25. Residential and non-residential options. Crews do forestry, wildfire, flood control, trails, and disaster response.","YOU GET PAID","$2,814/month stipend at entry level (before taxes). Residential members: $500/month maintenance fee deducted, net $2,314/month. Promotional levels: $2,904 (first promotion), $2,967 (second promotion). Scholarships up to $8,000/year. Emergency Excess Time paid separately. Health benefits.","None — direct application at ccc.ca.gov. California state program.","California statewide (residential centers and non-residential community crews)","Typically 1-2 years; self-paced","Gap year / early career; 18-25 years old","Low; open to all income levels, California resident preferred","ACTIVE — California state program, not dependent on federal AmeriCorps grants.","https://ccc.ca.gov/corpsmember-benefits/stipend-scholarships-supplies/"
"California Climate Action Corps Fellowship (CCAC)","California AmeriCorps fellowship placing 400 fellows with host partners in underserved communities statewide for 11 months; focus on urban greening, organic waste recovery, and wildfire resiliency. State-level successor to terminated federal American Climate Corps.","YOU GET PAID","$35,250 living allowance (pre-tax) paid biweekly over 11 months. Combined $10,000 education award (Segal Education Award + California for All Education Award) upon completion. Student loan forbearance with interest paid. Childcare assistance. SNAP eligibility. Up to $300 professional development stipend.","None — direct application at caclimateactioncorps.org. California Volunteers / AmeriCorps program.","California statewide (principally underserved communities)","11 months (September 2026 – August 2027)","Gap year / post-college; must be 18+","Moderate; 400 positions for 2026-2027 cohort","ACTIVE — applications open May 1-July 31, 2026 for September 21, 2026 start. State-funded successor to terminated federal American Climate Corps (terminated by executive order Jan 2025).","https://www.californiavolunteers.ca.gov/california-climate-action-corps-fellowship/"
"Washington Conservation Corps (WCC)","AmeriCorps State & National program operated by Washington State Department of Ecology; conservation crews do habitat restoration, trail construction, invasive species control, and environmental education. Ages 18-25.","YOU GET PAID","Biweekly stipend (exact amount unverified from operator page) + health insurance + AmeriCorps Education Award upon completion: $7,395 (full term), $5,176.50 (three-quarter term), $1,956.35 (quarter term) + student loan forbearance with interest paid.","None — apply at ecology.wa.gov/wcc.","Washington state","Varies: full-term (~9 months), three-quarter, or quarter-term; summer positions June 8 – Sept 10, 2026","Gap year; ages 18-25","Low-moderate; 25+ positions for summer 2026","ACTIVE — recruiting 25+ summer 2026 positions (June-Sept 2026) for trail maintenance and habitat restoration.","https://ecology.wa.gov/about-us/jobs-at-ecology/washington-conservation-corps/join-wcc"
"Montana Conservation Corps (MCC)","AmeriCorps conservation corps based in Montana; field crews and individual placements do trail construction, habitat restoration, wildfire mitigation, and natural resource projects across Montana and surrounding states. Ages 18+.","YOU GET PAID","Field Support Technician (seasonal, 2026): $1,440 biweekly (before taxes) + $3,697.50 Education Award + free health insurance. Conservation Fellow positions: $750 biweekly + $2,474 Education Award + free health insurance. Member Assistance Program. Public Lands Service Corps federal hiring preference.","None — apply at mtcorps.org.","Montana and surrounding states (Idaho, Wyoming, the Dakotas)","Seasonal (spring through fall) or year-round for some roles; Conservation Fellow: part-year","Gap year; ages 18+ (some roles 21-35)","Low-moderate; many seasonal openings","ACTIVE — accepting 2026 season applications; some roles filled, others still open as of mid-2026.","https://www.mtcorps.org/joinmcc/open-positions/current-open-positions.html"
"Student Conservation Association (SCA)","Largest youth conservation organization; places teens and young adults in paid conservation internships and crew positions at national parks, forests, and urban green spaces. Many positions carry AmeriCorps education awards.","YOU GET PAID","Varies by position: many SCA positions offer stipends (amount varies; unverified specific FY2026 dollar from operator site). Some positions also carry AmeriCorps Segal Education Award. Academic credit available. Benefits include hands-on training and housing for residential positions.","None — direct application at thesca.org.","Nationwide: national parks, forests, marine sanctuaries, and urban green spaces in 30+ states","Varies: 12-week summer positions to 52-week individual placements","High school age through young adult; teens (15+) and adults 18+","Low-moderate; 100,000+ participants since founding","ACTIVE — posting 2026 seasonal positions. Some SCA positions linked to AmeriCorps grants may have been affected by 2025 cuts.","https://thesca.org/join-the-crew"
"Conservation Legacy — Arizona Conservation Corps (AZCC)","AmeriCorps conservation corps program of Conservation Legacy operating in Arizona; field crews do habitat restoration, trail work, invasive species removal, and watershed projects on public lands.","YOU GET PAID","Living allowance (Conservation Legacy Individual Placement listings confirm stipend + living allowance for 2026 term; exact AZCC amount unverified on azcorps.org). AmeriCorps Education Award ~$7,395 (full term) upon completion. Health insurance.","None — apply at azcorps.org or conservationlegacy.org.","Arizona (and public lands in surrounding Southwest)","Varies: seasonal crews (3-6 months) and individual placements (12 months)","Gap year; ages 17+","Low-moderate","ACTIVE — Individual Placement listings show 01/01/2026-12/31/2026 terms open across AZ, CO, NC, NM, VA, TN, WV.","https://azcorps.org/about"
"WWOOF USA","Work-exchange network matching volunteers (WWOOFers) with organic farms for roughly 25 hrs/week of farm labor in return for room and board. No cash changes hands between host and WWOOFer. Minimum age 18.","NET NEUTRAL","Membership fee: $40/year solo, $65/year joint (confirmed from wwoof.net membership-terms PDF, March 2026). Hidden costs: participant pays all transport to/from farm, must carry travel/medical insurance. Flights can add $200–$1,500+. Zero farm stipend.","None published. WWOOF USA does not operate an affiliate or referral program.","USA (1,100+ host farms across all 50 states)","Days to months; flexible","Gap year / exploration","Low — open application; hosts choose whom to accept","Active. Note: WWOOF USA requires insurance; unvetted placements carry real safeguarding risk — no background checks on hosts. Exploitation incidents documented in press.","https://wwoofusa.org"
"WWOOF Independents","Same WWOOF model but covers 80+ countries without their own national organization. One membership unlocks hosts across all those countries. Managed by the Federation of WWOOF Organizations (FoWO).","NET NEUTRAL","Membership fee: $35/year (individual), $55 dual (confirmed help.wwoof.net March 2026 table). Same hidden costs as WWOOF USA: flights, visa, insurance.","None published.","Worldwide (80+ countries without a national WWOOF org)","Flexible","Gap year / exploration","Low","Active. Same safeguarding caveats as WWOOF USA.","https://wwoof.net/independents"
"WWOOF Italy / France / Germany","Country-specific WWOOF memberships. Italy: €40 individual, €80 dual. France: €28/€34. Germany: €35/€55. Each is a separate purchase and covers only that country.","YOU PAY","Italy €40, France €28, Germany €35 (individual, annual, verified help.wwoof.net March 2026). Must add flights — typically $600–$1,200 round-trip from US — plus insurance. All-in first year: roughly $800–$1,400+ per country. Reclassify as YOU PAY for first year abroad.","None published.","Italy / France / Germany respectively","Flexible","Gap year / immersion","Low","Active. Same safeguarding caveats. WWOOF Italy has had documented labor-law compliance issues.","https://help.wwoof.net/hc/en-us/articles/16654242038941"
"Workaway","Global work-exchange directory with 50,000+ host opportunities in 170+ countries. Volunteers offer 4–5 hrs/day of help (hostel work, teaching, farm, care) in return for room and board. Platform only; individual hosts set their own terms.","NET NEUTRAL","Membership: US$69/year solo, US$79/year couple (confirmed workaway.info signup page 2026). Flights and insurance are additional and can easily total $1,000+. Some hosts charge an extra daily fee — not standard but present.","Active affiliate program: monthly PayPal commission per successful referral. Member referral tier: 3 months free membership per referral (up to 2 years free with 8 referrals). After 8 referrals, invited to formal Affiliate program with cash commission. Exact commission rate not publicly disclosed — described as 'monthly commission via PayPal'. Source: workaway.info/en/community/affiliates and workaway.info/en/stories/travel-long-term-free.","Worldwide (170+ countries)","Typically weeks to 3 months per placement","Gap year / exploration","Low — open application","Active. Safeguarding risk: unvetted hosts; incidents of labor exploitation and personal safety issues documented. Background checks not mandatory. Orphanage-style placements exist — now widely condemned by child-safeguarding bodies.","https://www.workaway.info"
"Worldpackers","Work-exchange platform with 50,000+ verified host positions globally. Emphasizes safety with WP Safeguard (emergency accommodation reimbursement up to $59–$399 depending on plan) and double-blind reviews. Max 32 volunteer hours/week.","NET NEUTRAL","Membership: US$59/year solo, US$69/year couples (verified worldpackers.com/get_verified, 2026). Premium 'Pack Plus' plans: US$139–$159. Flights and insurance additional. Some hosts charge extra collaboration fee — verify before confirming. Referral affiliate discount: Affiliates give users US$10 off first purchase.","Guru Program: members with 2+ positive reviews earn cash commission per conversion using their Expert code. One testimonial cites US$1,200+ earned. Blogger program pays US$50–$160 per approved article. Creator program pays monthly for social media content. Affiliate promo codes give referred buyers US$10 off. Source: worldpackers.com/programs.","Worldwide (140+ countries)","Typically 1 week to 3 months per placement","Gap year / exploration","Low-moderate — hosts individually pre-approve applicants","Active. WP Safeguard adds meaningful protection vs other platforms.","https://www.worldpackers.com"
"HelpX","Peer-to-peer work-exchange directory. Helpers offer ~4 hrs/day in return for accommodation and meals. Covers farms, homestays, hostels, boats, ranches in 140+ countries. One of the oldest platforms (launched early 2000s).","NET NEUTRAL","Premier helper upgrade: €20 for 2 years (verified helpx.net/faq and helpx.net/registerchoice, 2026). No separate annual fee after that. Flight/insurance costs additional. Hosts listed for free. Very low platform cost.","None published.","Worldwide (strong in Australia, NZ, Europe)","Days to months; flexible","Gap year / exploration","Low — direct contact; no formal vetting","Active. No background checks. Free-tier hosts can see helpers but premium required to initiate contact. Lower safeguarding infrastructure than Worldpackers.","https://www.helpx.net"
"HelpStay","Work-exchange and volunteer-stay platform focused on 'Hospitality First' model. 2,500+ vetted hosts in 100+ countries — all screened and approved by the HelpStay team before listing.","NET NEUTRAL","Annual membership: €42.99 solo, €51.99 couple/friends (confirmed helpstay.com FAQ pages and comparison sources, 2026). Some hosts charge additional daily fees (example listings show €22–€25/day for some placements). Flights and insurance extra.","None publicly documented.","Worldwide (100+ countries)","Flexible","Gap year / exploration","Low","Active. User reviews note interface less polished than competitors; host vetting more selective than HelpX but complaints about consistency.","https://helpstay.com"
"Trusted Housesitters (Sitter membership)","Pet-sitting exchange platform: sitters care for pets and homes of absent owners, with free accommodation provided in return. No cash changes hands between homeowner and sitter. Both parties pay separate annual memberships.","NET NEUTRAL","Sitter membership: approximately US$129 (Basic), US$189 (Standard), US$259 (Premium) per year (unverified exact USD sitter tier — pricing page showed Pet Parent tiers US$149/229/299; sitter tiers differ). Pet Parent Basic US$149/year confirmed. No sitter is paid; no homeowner pays sitter. Flights to reach sits are participant's own cost — this can be significant.","Refer-a-Friend: active members earn 2 months free per friend who joins; referred friend gets 25% off their membership (confirmed trustedhousesitters.com/blog/news/referring-a-friend-how-it-works, 2022 — program still active per forum posts Feb 2026). Affiliate program for content creators with 5,000+ followers: competitive commission via Impact.com, 30-day cookie. Details: trustedhousesitters.com/pages/affiliates/.","Worldwide (sits concentrated in USA, UK, Europe)","Days to months","Gap year / travel","Moderate — homeowners choose sitters from applicants","Active. Well-established safeguarding: background checks available, reviews system. Sitters must transport themselves to each sit.","https://www.trustedhousesitters.com"
"Caretaker Gazette","Print and online newsletter (since 1983) listing property caretaking and house-sitting positions. Many positions offer rent-free living in exchange for maintenance, caretaking, or housesitting labor. Published bimonthly; email updates several times a week.","NET NEUTRAL","Subscription: $39.95/year (confirmed caretaker.org, July/August 2026 Issue #262 active). Some positions pay a small salary; others are room-only. Positions are highly varied — some include stipend, vehicle, utilities. Flights to remote positions are own cost.","None published.","USA (all 50 states) and worldwide","Weeks to multi-year","Gap year / long-term","Moderate — positions are individually negotiated","Active. No position vetting by Gazette — due diligence is participant's own responsibility (per their Terms of Use).","https://caretaker.org"
"Findacrew.net (sailing passages)","World's largest online crew-boat matching network. Crew members offer sailing labor in return for a berth (free accommodation aboard). Positions range from recreational passages to longer delivery trips. Free to register; Premium required to exchange contact details.","NET NEUTRAL","Registration is free. Premium membership required for messaging (pricing not publicly listed on main page; approximately US$50–$100/year per external sources). Many positions are unpaid berth-for-crew; some ask crew to contribute to fuel/food. Flights to departure port are own cost. Crew may contribute to provisions on recreational passages — verify terms before accepting.","None published.","Worldwide (200+ countries)","Days to months per passage","Gap year / adventure","Moderate — skippers choose crew individually","Active. Safeguarding risk: at-sea situations require careful vetting — the site explicitly warns users to ask extensive questions before boarding.","https://www.findacrew.com"
"Australia Work and Holiday Visa (Subclass 462)","Open-work visa for US citizens to live and work in Australia for 12 months (extendable to 3 years via regional work). Note: US citizens use subclass 462, NOT 417 — a common error in most guides. Requires tertiary education evidence (at least 2 years of university).","YOU GET PAID","Visa fee AUD $840 (~USD $545) paid upfront. Proof of funds required. Typical wages AUD $24–30/hr (minimum wage AUD $24.10/hr in 2026). Hospitality and farm work earns AUD $2,500–4,500/mo. Net positive over a 12-month stay by $15,000–30,000 AUD after costs.","No formal affiliate scheme for the visa. Third-party agents (not endorsed by Home Affairs) charge AUD $200–500 for application help. Working holiday placement agencies (farm, hospitality) charge employers AUD $0–500 finder fees, unpublished.","Australia (any region; regional work required for year 2/3 extension)","12 months; extendable to 24 months (regional work) or 36 months","Gap year / post-grad","Low — apply online, no interview; cap applies but historically generous for US","OPEN to US citizens. Age 18–30 at application. US is NOT eligible for 417.","https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-462"
"Australia Working Holiday Visa (Subclass 417)","The more commonly advertised Australian working holiday visa. Covers UK, Ireland, Canada, and many European passport holders. US citizens are NOT eligible — this is the single most common error in gap-year advice.","NET NEUTRAL","N/A for US citizens — CLOSED to US passport holders. Use 462 instead.","N/A","Australia","N/A","N/A","N/A","CLOSED to US citizens. US is ineligible for subclass 417.","https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-417"
"New Zealand Working Holiday Visa (US scheme)","Open-work visa to live and work anywhere in New Zealand for 12 months. US scheme is uncapped — apply any time, no waiting for an annual quota opening.","YOU GET PAID","Visa fee NZD $770 + NZD $100 IVL levy (~USD $530 total). Proof of NZD $4,200 funds required. Minimum wage NZD $23.15/hr (2026). Typical hospitality/farm wages NZD $2,500–4,000/mo. Net positive over 12 months by NZD $10,000–25,000 after setup costs.","No official affiliate. Working holiday starter packages (accommodation + bank setup) sold by operators like KILROY for GBP $200–400 targeting European holders; similar services target US holders.","New Zealand","12 months; 3-month extension possible via 3 months of horticulture/viticulture work","Gap year / post-grad","Low — apply online, US scheme uncapped","OPEN to US citizens. Age 18–30.","https://www.immigration.govt.nz/work/working-holiday-visas/who-can-apply-for-a-working-holiday-visa/"
"Ireland Working Holiday Authorisation (J1 WHA)","Bilateral Working Holiday Authorisation allowing US citizens to live and work in Ireland for up to 12 months. Applied for through Irish consulates in the US. Requires current enrollment in full-time post-secondary education or graduation within prior 12 months.","YOU GET PAID","WHA fee $270 (charged by Irish consulate). €300 Irish Residence Permit fee if staying >90 days. Irish minimum wage approximately EUR 13.50/hr in 2026. Hospitality, retail, office work typical. Must show $1,500 in bank. Net positive over 12 months; entry-level hospitality earns EUR 1,800–2,500/mo.","No affiliate program. USIT and similar youth travel agencies sell add-on starter packages (accommodation, orientation) for USD $300–600.","Ireland","Up to 12 months","Must be current student or recent grad (within 12 months)","Low — apply by post/in person to consulate; no annual cap published","OPEN to US citizens. Age 18+. Must be in full-time post-secondary education or recent grad.","https://ireland.ie/en/dfa/visas-for-ireland/us-ireland-holiday-working-agreement-j1/"
"South Korea Working Holiday Visa (H-1) — US WEST Program","Open-work visa for US citizens to live and work in South Korea. US route is the WEST (Work, English Study, Travel) program administered by NIIED/Korean consulate. Unique: no age limit for US citizens, but requires current higher education enrollment or graduation within 1 year.","YOU GET PAID","Visa fee ~USD $45. Annual quota 2,000 for US citizens. Proof of KRW 3,000,000 (~USD $2,200) funds required. Typical wages: service/hospitality KRW 2,000,000–3,000,000/mo; English tutoring at hagwons KRW 2,000,000–2,500,000/mo permitted on H-1 for native English speakers with degree. Max 25 hrs/week for most work types.","No formal affiliate. NIIED administers directly. Hagwon recruiters charge employers 1 month's salary (~KRW 2,000,000) placement fee, unpublished to applicants.","South Korea (any region)","12 months; not extendable, one per lifetime","Must be current higher education student or recent grad","Low-Moderate — quota of 2,000/yr for US fills; apply early in annual cycle","OPEN to US citizens. NO age limit for US nationals. Must be enrolled in or recently graduated from higher education.","https://koreaworkexpert.com/working-holiday-h1-visa-korea-2026/ (citing Korean Ministry of Justice March 2026 manual)"
"Singapore Work Holiday Programme (WHP)","Highly selective 6-month open-work pass for students/recent grads from 7 countries including USA. Only 2,000 places/year total across all nationalities. Singapore does not have a national minimum wage so market salaries apply.","YOU GET PAID","Application IPA: free online. Pass issuance fee SGD $175 (~USD $130). Proof of SGD $2,500 funds required. Office/tech/finance salaries SGD $2,500–4,500/mo (~USD $1,850–3,300). Hospitality SGD $1,800–2,800/mo. No CPF deductions for WHP holders so gross is close to net. Very high-value vs other Asian WHVs.","No affiliate program. MOM issues directly; no third-party fee permitted in the application process.","Singapore","6 months; no extension, no second WHP per lifetime","Must be current university student OR graduate within past 6 months","High — quota 2,000/yr total; eligible only if enrolled or graduated within 6 months from MOM-recognised university","OPEN to US citizens. Age 18–25 STRICTLY (no exceptions). Must be current student or grad within 6 months.","https://www.mom.gov.sg/passes-and-permits/work-holiday-programme/apply-for-a-pass"
"Japan Working Holiday Programme","Japan has WHV agreements with 32 countries as of April 2026. The United States is NOT among them. This is the most commonly cited incorrect 'open' pathway for US gap-year students wanting to work in Japan.","NET NEUTRAL","N/A — CLOSED to US citizens. US citizens can visit Japan visa-free for 90 days but cannot legally work.","N/A","Japan","N/A","N/A","N/A","CLOSED to US citizens. Japan's WHV list (32 countries as of April 1, 2026) does not include the United States.","https://www.mofa.go.jp/j_info/visit/w_holiday/index.html"
"Taiwan Working Holiday Visa","Taiwan has WHV agreements with 17 countries as of 2026. The United States is NOT included. Commonly mislisted as open to US citizens in blog posts.","NET NEUTRAL","N/A — CLOSED to US citizens. Taiwan's 17 partner countries include Australia, NZ, Canada, UK, Germany, Ireland, France, and various European nations but not the USA.","N/A","Taiwan","N/A","N/A","N/A","CLOSED to US citizens. Taiwan BOCA partner list for 2026 does not include USA.","https://faqs.tw/en/fitw-working-holiday"
